02PR,America/Puerto_Rico
EGTW,Europe/London
EGUB,Europe/London
EGUD,Europe/London
EGUL,Europe/London
EGUN,Europe/London
EGUW,Europe/London
EGVA,Europe/London
EGVL,Europe/London
EGVN,Europe/London
EGVO,Europe/London
EGVP,Europe/London
EGWC,Europe/London
EGWE,Europe/London
EGWN,Europe/London
EGWU,Europe/London
EGXC,Europe/London
EGXE,Europe/London
EGXG,Europe/London
EGXH,Europe/London
EGXT,Europe/London
EGXW,Europe/London
EGXY,Europe/London
EGXZ,Europe/London
EGYD,Europe/London
EGYE,Europe/London
EGYM,Europe/London
EGZL,Europe/London
EHAL,Europe/Amsterdam
EHAM,Europe/Amsterdam
EHBD,Europe/Amsterdam
EHBK,Europe/Amsterdam
EHDL,Europe/Amsterdam
EHDR,Europe/Amsterdam
EHEH,Europe/Amsterdam
EHGG,Europe/Amsterdam
EHGR,Europe/Amsterdam
EHHO,Europe/Amsterdam
EHHV,Europe/Amsterdam
EHKD,Europe/Amsterdam
EHLE,Europe/Amsterdam
EHLW,Europe/Amsterdam
EHMZ,Europe/Amsterdam
EHOW,Europe/Amsterdam
EHRD,Europe/Amsterdam
EHSE,Europe/Amsterdam
EHST,Europe/Amsterdam
EHTE,Europe/Amsterdam
EHTL,Europe/Amsterdam
EHTW,Europe/Amsterdam
EHTX,Europe/Amsterdam
EHVK,Europe/Amsterdam
EHWO,Europe/Amsterdam
EIAB,Europe/Dublin
EIBA,Europe/Dublin
EIBF,Europe/Dublin
EIBN,Europe/Dublin
EIBR,Europe/Dublin
EIBT,Europe/Dublin
EICA,Europe/Dublin
EICD,Europe/Dublin
EICK,Europe/Dublin
EICL,Europe/Dublin
EICN,Europe/Dublin
EIDL,Europe/Dublin
EIDW,Europe/Dublin
EIER,Europe/Dublin
EIGN,Europe/Dublin
EIHH,Europe/Dublin
EIHN,Europe/Dublin
EIIM,Europe/Dublin
EIIR,Europe/Dublin
EIKH,Europe/Dublin
EIKK,Europe/Dublin
EIKN,Europe/Dublin
EIKY,Europe/Dublin
EILT,Europe/Dublin
EIME,Europe/Dublin
EIMH,Europe/Dublin
EIMN,Europe/Dublin
EINC,Europe/Dublin
EINN,Europe/Dublin
EIRT,Europe/Dublin
EISG,Europe/Dublin
EISP,Europe/Dublin
EISS,Europe/Dublin
EITM,Europe/Dublin
EIWF,Europe/Dublin
EIWT,Europe/Dublin
EKAE,Europe/Copenhagen
EKAH,Europe/Copenhagen
EKAT,Europe/Copenhagen
EKBH,Europe/Copenhagen
EKBI,Europe/Copenhagen
EKCH,Europe/Copenhagen
EKCR,Europe/Copenhagen
EKEB,Europe/Copenhagen
EKEL,Europe/Copenhagen
EKFR,Europe/Copenhagen
EKFS,Europe/Copenhagen
EKFU,Europe/Copenhagen
EKGH,Europe/Copenhagen
EKGL,Europe/Copenhagen
EKGO,Europe/Copenhagen
EKGR,Europe/Copenhagen
EKHE,Europe/Copenhagen
EKHG,Europe/Copenhagen
EKHK,Europe/Copenhagen
EKHM,Europe/Copenhagen
EKHO,Europe/Copenhagen
EKHV,Europe/Copenhagen
EKKA,Europe/Copenhagen
EKKL,Europe/Copenhagen
EKKO,Europe/Copenhagen
EKKS,Europe/Copenhagen
EKLS,Europe/Copenhagen
EKLV,Europe/Copenhagen
EKMB,Europe/Copenhagen
EKMN,Europe/Copenhagen
EKNM,Europe/Copenhagen
EKOD,Europe/Copenhagen
EKPB,Europe/Copenhagen
EKRA,Europe/Copenhagen
EKRD,Europe/Copenhagen
EKRK,Europe/Copenhagen
EKRN,Europe/Copenhagen
EKRS,Europe/Copenhagen
EKSA,Europe/Copenhagen
EKSB,Europe/Copenhagen
EKSD,Europe/Copenhagen
EKSL,Europe/Copenhagen
EKSN,Europe/Copenhagen
EKSP,Europe/Copenhagen
EKSS,Europe/Copenhagen
EKST,Europe/Copenhagen
EKSV,Europe/Copenhagen
EKTD,Europe/Copenhagen
EKTS,Europe/Copenhagen
EKVB,Europe/Copenhagen
EKVD,Europe/Copenhagen
EKVG,Atlantic/Faroe
EKVH,Europe/Copenhagen
EKVJ,Europe/Copenhagen
EKYT,Europe/Copenhagen
ELLX,Europe/Luxembourg
ELNT,Europe/Luxembourg
ELUS,Europe/Luxembourg
ENAE,Europe/Oslo
ENAL,Europe/Oslo
ENAN,Europe/Oslo
ENAS,Arctic/Longyearbyen
ENAT,Europe/Oslo
ENBL,Europe/Oslo
ENBM,Europe/Oslo
ENBN,Europe/Oslo
ENBO,Europe/Oslo
ENBR,Europe/Oslo
ENBS,Europe/Oslo
ENBV,Europe/Oslo
ENCN,Europe/Oslo
ENDI,Europe/Oslo
ENDO,Europe/Oslo
ENDU,Europe/Oslo
ENEG,Europe/Oslo
ENEN,Europe/Oslo
ENEV,Europe/Oslo
ENFA,Europe/Oslo
ENFG,Europe/Oslo
ENFL,Europe/Oslo
ENFY,Europe/Oslo
ENGK,Europe/Oslo
ENGM,Europe/Oslo
ENGN,Europe/Oslo
ENGS,Europe/Oslo
ENHA,Europe/Oslo
ENHD,Europe/Oslo
ENHF,Europe/Oslo
ENHK,Europe/Oslo
ENHL,Europe/Oslo
ENHN,Europe/Oslo
ENHS,Europe/Oslo
ENHT,Europe/Oslo
ENHV,Europe/Oslo
ENJA,Europe/Oslo
ENJB,Europe/Oslo
ENKA,Europe/Oslo
ENKB,Europe/Oslo
ENKJ,Europe/Oslo
ENKL,Europe/Oslo
ENKR,Europe/Oslo
ENLI,Europe/Oslo
ENLK,Europe/Oslo
ENLU,Europe/Oslo
ENMH,Europe/Oslo
ENML,Europe/Oslo
ENMS,Europe/Oslo
ENNA,Europe/Oslo
ENNM,Europe/Oslo
ENNO,Europe/Oslo
ENOL,Europe/Oslo
ENOP,Europe/Oslo
ENOV,Europe/Oslo
ENRA,Europe/Oslo
ENRG,Europe/Oslo
ENRI,Europe/Oslo
ENRK,Europe/Oslo
ENRM,Europe/Oslo
ENRO,Europe/Oslo
ENRS,Europe/Oslo
ENRV,Europe/Oslo
ENRY,Europe/Oslo
ENSB,Arctic/Longyearbyen
ENSD,Europe/Oslo
ENSG,Europe/Oslo
ENSH,Europe/Oslo
ENSI,Europe/Oslo
ENSK,Europe/Oslo
ENSN,Europe/Oslo
ENSO,Europe/Oslo
ENSR,Europe/Oslo
ENSS,Europe/Oslo
ENST,Europe/Oslo
ENSU,Europe/Oslo
ENTC,Europe/Oslo
ENTO,Europe/Oslo
ENTS,Europe/Oslo
ENTY,Europe/Oslo
ENUL,Europe/Oslo
ENVA,Europe/Oslo
ENVD,Europe/Oslo
ENVE,Europe/Oslo
ENZV,Europe/Oslo
EPAR,Europe/Warsaw
EPBA,Europe/Warsaw
EPBB,Europe/Warsaw
EPBC,Europe/Warsaw
EPBK,Europe/Warsaw
EPBY,Europe/Warsaw
EPCD,Europe/Warsaw
EPCE,Europe/Warsaw
EPDA,Europe/Warsaw
EPDE,Europe/Warsaw
EPDK,Europe/Warsaw
EPDS,Europe/Warsaw
EPEL,Europe/Warsaw
EPGD,Europe/Warsaw
EPGE,Europe/Warsaw
EPGI,Europe/Warsaw
EPGL,Europe/Warsaw
EPGM,Europe/Warsaw
EPGR,Europe/Warsaw
EPGS,Europe/Warsaw
EPGY,Europe/Warsaw
EPHN,Europe/Warsaw
EPIN,Europe/Warsaw
EPIR,Europe/Warsaw
EPJA,Europe/Warsaw
EPJG,Europe/Warsaw
EPJL,Europe/Warsaw
EPJS,Europe/Warsaw
EPKA,Europe/Warsaw
EPKB,Europe/Warsaw
EPKD,Europe/Warsaw
EPKE,Europe/Warsaw
EPKI,Europe/Warsaw
EPKK,Europe/Warsaw
EPKL,Europe/Warsaw
EPKM,Europe/Warsaw
EPKN,Europe/Warsaw
EPKP,Europe/Warsaw
EPKR,Europe/Warsaw
EPKS,Europe/Warsaw
EPKT,Europe/Warsaw
EPKW,Europe/Warsaw
EPLB,Europe/Warsaw
EPLK,Europe/Warsaw
EPLL,Europe/Warsaw
EPLR,Europe/Warsaw
EPLS,Europe/Warsaw
EPLU,Europe/Warsaw
EPLY,Europe/Warsaw
EPMB,Europe/Warsaw
EPMI,Europe/Warsaw
EPML,Europe/Warsaw
EPMM,Europe/Warsaw
EPMO,Europe/Warsaw
EPMR,Europe/Warsaw
EPMX,Europe/Warsaw
EPMY,Europe/Warsaw
EPNA,Europe/Warsaw
EPNL,Europe/Warsaw
EPNM,Europe/Warsaw
EPNT,Europe/Warsaw
EPOD,Europe/Warsaw
EPOK,Europe/Warsaw
EPOM,Europe/Warsaw
EPOP,Europe/Warsaw
EPPC,Europe/Warsaw
EPPI,Europe/Warsaw
EPPK,Europe/Warsaw
EPPL,Europe/Warsaw
EPPO,Europe/Warsaw
EPPR,Europe/Warsaw
EPPT,Europe/Warsaw
EPPW,Europe/Warsaw
EPRA,Europe/Warsaw
EPRD,Europe/Warsaw
EPRG,Europe/Warsaw
EPRJ,Europe/Warsaw
EPRP,Europe/Warsaw
EPRS,Europe/Warsaw
EPRU,Europe/Warsaw
EPRZ,Europe/Warsaw
EPSC,Europe/Warsaw
EPSD,Europe/Warsaw
EPSJ,Europe/Warsaw
EPSK,Europe/Warsaw
EPSN,Europe/Warsaw
EPSS,Europe/Warsaw
EPST,Europe/Warsaw
EPSU,Europe/Warsaw
EPSW,Europe/Warsaw
EPSY,Europe/Warsaw
EPTM,Europe/Warsaw
EPTO,Europe/Warsaw
EPVA,Europe/Warsaw
EPWA,Europe/Warsaw
EPWK,Europe/Warsaw
EPWR,Europe/Warsaw
EPWS,Europe/Warsaw
EPZA,Europe/Warsaw
EPZB,Europe/Warsaw
EPZG,Europe/Warsaw
EPZI,Europe/Warsaw
EPZK,Europe/Warsaw
EPZL,Europe/Warsaw
EPZP,Europe/Warsaw
EPZR,Europe/Warsaw
ESCF,Europe/Stockholm
ESCM,Europe/Stockholm
ESDF,Europe/Stockholm
ESFA,Europe/Stockholm
ESFR,Europe/Stockholm
ESFS,Europe/Stockholm
ESGA,Europe/Stockholm
ESGC,Europe/Stockholm
ESGD,Europe/Stockholm
ESGE,Europe/Stockholm
ESGF,Europe/Stockholm
ESGG,Europe/Stockholm
ESGH,Europe/Stockholm
ESGI,Europe/Stockholm
ESGJ,Europe/Stockholm
ESGK,Europe/Stockholm
ESGL,Europe/Stockholm
ESGM,Europe/Stockholm
ESGN,Europe/Stockholm
ESGO,Europe/Stockholm
ESGP,Europe/Stockholm
ESGR,Europe/Stockholm
ESGS,Europe/Stockholm
ESGT,Europe/Stockholm
ESGU,Europe/Stockholm
ESGV,Europe/Stockholm
ESGY,Europe/Stockholm
ESIA,Europe/Stockholm
ESIB,Europe/Stockholm
ESKA,Europe/Stockholm
ESKC,Europe/Stockholm
ESKD,Europe/Stockholm
ESKG,Europe/Stockholm
ESKH,Europe/Stockholm
ESKK,Europe/Stockholm
ESKM,Europe/Stockholm
ESKN,Europe/Stockholm
ESKO,Europe/Stockholm
ESKS,Europe/Stockholm
ESKT,Europe/Stockholm
ESKU,Europe/Stockholm
ESKV,Europe/Stockholm
ESMB,Europe/Stockholm
ESMC,Europe/Stockholm
ESME,Europe/Stockholm
ESMF,Europe/Stockholm
ESMG,Europe/Stockholm
ESMH,Europe/Stockholm
ESMI,Europe/Stockholm
ESMJ,Europe/Stockholm
ESMK,Europe/Stockholm
ESML,Europe/Stockholm
ESMO,Europe/Stockholm
ESMP,Europe/Stockholm
ESMQ,Europe/Stockholm
ESMS,Europe/Stockholm
ESMT,Europe/Stockholm
ESMU,Europe/Stockholm
ESMV,Europe/Stockholm
ESMX,Europe/Stockholm
ESMY,Europe/Stockholm
ESMZ,Europe/Stockholm
ESNA,Europe/Stockholm
ESNB,Europe/Stockholm
ESNC,Europe/Stockholm
ESND,Europe/Stockholm
ESNE,Europe/Stockholm
ESNG,Europe/Stockholm
ESNJ,Europe/Stockholm
ESNK,Europe/Stockholm
ESNL,Europe/Stockholm
ESNM,Europe/Stockholm
ESNN,Europe/Stockholm
ESNO,Europe/Stockholm
ESNP,Europe/Stockholm
ESNQ,Europe/Stockholm
ESNR,Europe/Stockholm
ESNS,Europe/Stockholm
ESNU,Europe/Stockholm
ESNV,Europe/Stockholm
ESNX,Europe/Stockholm
ESNY,Europe/Stockholm
ESNZ,Europe/Stockholm
ESOE,Europe/Stockholm
ESOH,Europe/Stockholm
ESOK,Europe/Stockholm
ESOL,Europe/Stockholm
ESOW,Europe/Stockholm
ESPA,Europe/Stockholm
ESPE,Europe/Stockholm
ESQO,Europe/Stockholm
ESSA,Europe/Stockholm
ESSB,Europe/Stockholm
ESSC,Europe/Stockholm
ESSD,Europe/Stockholm
ESSE,Europe/Stockholm
ESSF,Europe/Stockholm
ESSG,Europe/Stockholm
ESSH,Europe/Stockholm
ESSI,Europe/Stockholm
ESSK,Europe/Stockholm
ESSL,Europe/Stockholm
ESSM,Europe/Stockholm
ESSN,Europe/Stockholm
ESSP,Europe/Stockholm
ESST,Europe/Stockholm
ESSU,Europe/Stockholm
ESSV,Europe/Stockholm
ESSW,Europe/Stockholm
ESSX,Europe/Stockholm
ESSZ,Europe/Stockholm
ESTA,Europe/Stockholm
ESTF,Europe/Stockholm
ESTL,Europe/Stockholm
ESTT,Europe/Stockholm
ESUB,Europe/Stockholm
ESUD,Europe/Stockholm
ESUE,Europe/Stockholm
ESUG,Europe/Stockholm
ESUH,Europe/Stockholm
ESUI,Europe/Stockholm
ESUJ,Europe/Stockholm
ESUK,Europe/Stockholm
ESUL,Europe/Stockholm
ESUM,Europe/Stockholm
ESUO,Europe/Stockholm
ESUP,Europe/Stockholm
ESUR,Europe/Stockholm
ESUS,Europe/Stockholm
ESUT,Europe/Stockholm
ESUV,Europe/Stockholm
ESUY,Europe/Stockholm
ESVA,Europe/Stockholm
ESVB,Europe/Stockholm
ESVG,Europe/Stockholm
ESVH,Europe/Stockholm
ESVK,Europe/Stockholm
ESVM,Europe/Stockholm
ESVQ,Europe/Stockholm
ESVS,Europe/Stockholm
ETAD,Europe/Berlin
ETAR,Europe/Berlin
ETHA,Europe/Berlin
ETHB,Europe/Berlin
ETHC,Europe/Berlin
ETHE,Europe/Berlin
ETHF,Europe/Berlin
ETHL,Europe/Berlin
ETHM,Europe/Berlin
ETHN,Europe/Berlin
ETHR,Europe/Berlin
ETHS,Europe/Berlin
ETIC,Europe/Berlin
ETIH,Europe/Berlin
ETIN,Europe/Berlin
ETMN,Europe/Berlin
ETND,Europe/Berlin
ETNG,Europe/Berlin
ETNH,Europe/Berlin
ETNL,Europe/Berlin
ETNN,Europe/Berlin
ETNS,Europe/Berlin
ETNT,Europe/Berlin
ETNW,Europe/Berlin
ETOI,Europe/Berlin
ETOU,Europe/Berlin
ETSB,Europe/Berlin
ETSH,Europe/Berlin
ETSI,Europe/Berlin
ETSL,Europe/Berlin
ETSN,Europe/Berlin
ETT1,Europe/Berlin
ETWM,Europe/Berlin
EVAD,Europe/Riga
EVAH,Europe/Riga
EVGA,Europe/Riga
EVIA,Europe/Riga
EVKA,Europe/Riga
EVLA,Europe/Riga
EVPA,Europe/Riga
EVRA,Europe/Riga
EVRS,Europe/Riga
EVTA,Europe/Riga
EVTE,Europe/Riga
EVVA,Europe/Riga
EYAL,Europe/Vilnius
EYBI,Europe/Vilnius
EYDR,Europe/Vilnius
EYIG,Europe/Vilnius
EYJB,Europe/Vilnius
EYKA,Europe/Vilnius
EYKD,Europe/Vilnius
EYKL,Europe/Vilnius
EYKS,Europe/Vilnius
EYKT,Europe/Vilnius
EYLN,Europe/Vilnius
EYMA,Europe/Vilnius
EYMM,Europe/Vilnius
EYMO,Europe/Vilnius
EYNA,Europe/Vilnius
EYND,Europe/Vilnius
EYPA,Europe/Vilnius
EYPI,Europe/Vilnius
EYPN,Europe/Vilnius
EYPP,Europe/Vilnius
EYPR,Europe/Vilnius
EYRD,Europe/Vilnius
EYRK,Europe/Vilnius
EYRO,Europe/Vilnius
EYSA,Europe/Vilnius
EYSB,Europe/Vilnius
EYSE,Europe/Vilnius
EYSI,Europe/Vilnius
EYTL,Europe/Vilnius
EYUT,Europe/Vilnius
EYVI,Europe/Vilnius
EYVK,Europe/Vilnius
EYVP,Europe/Vilnius
EYZA,Europe/Vilnius
K00C,America/Denver
K00F,America/Denver
K00M,America/Chicago
K00R,America/Chicago
K00V,America/Denver
K01G,America/New_York
K01M,America/Chicago
K01T,America/Chicago
K02A,America/Chicago
K02C,America/Chicago
K02G,America/New_York
K03B,America/Chicago
K03D,America/Chicago
K04A,America/Chicago
K04G,America/New_York
K04M,America/Chicago
K04Y,America/Chicago
K05C,America/Chicago
K05D,America/Chicago
K05U,America/Los_Angeles
K06A,America/Chicago
K06C,America/Chicago
K06D,America/Chicago
K06M,America/Chicago
K06U,America/Los_Angeles
K07A,America/Chicago
K07F,America/Chicago
K07R,America/Chicago
K07V,America/Denver
K08A,America/Chicago
K08C,America/Detroit
K08D,America/Chicago
K08K,America/Chicago
K08M,America/Chicago
K09A,America/Chicago
K09J,America/New_York
K09K,America/Chicago
K09M,America/Chicago
K09R,America/Chicago
K0A3,America/Chicago
K0A4,America/New_York
K0A7,America/New_York
K0A8,America/Chicago
K0A9,America/New_York
K0B1,America/New_York
K0B4,America/Chicago
K0B5,America/New_York
K0B8,America/New_York
K0C0,America/Chicago
K0C4,America/Chicago
K0D8,America/Chicago
K0E0,America/Denver
K0E8,America/Denver
K0F2,America/Chicago
K0F4,America/Chicago
K0F7,America/Chicago
K0F9,America/Chicago
K0G3,America/Chicago
K0G6,America/New_York
K0G7,America/New_York
K0H1,America/Chicago
K0I8,America/New_York
K0J4,America/Chicago
K0J6,America/Chicago
K0J9,America/Chicago
K0K7,America/Chicago
K0L7,America/Los_Angeles
K0L9,America/Los_Angeles
K0M0,America/Chicago
K0M2,America/Chicago
K0M3,America/Chicago
K0M4,America/Chicago
K0M5,America/Chicago
K0M8,America/Chicago
K0M9,America/Chicago
K0O2,America/Los_Angeles
K0Q5,America/Los_Angeles
K0R0,America/Chicago
K0R1,America/Chicago
K0R3,America/Chicago
K0R4,America/Chicago
K0R5,America/Chicago
K0R6,America/Chicago
K0S0,America/Los_Angeles
K0S7,America/Los_Angeles
K0S9,America/Los_Angeles
K0V3,America/Chicago
K0V4,America/New_York
K0V7,America/Denver
K0VG,America/New_York
K0W3,America/New_York
K10C,America/Chicago
K10G,America/New_York
K10U,America/Los_Angeles
K11A,America/Chicago
K11R,America/Chicago
K11V,America/Denver
K12D,America/Chicago
K12G,America/New_York
K12J,America/Chicago
K12K,America/Chicago
K12N,America/New_York
K12V,America/New_York
K12Y,America/Chicago
K13C,America/Detroit
K13K,America/Chicago
K14A,America/New_York
K14F,America/Chicago
K14G,America/New_York
K14J,America/Chicago
K14M,America/Chicago
K14Y,America/Chicago
K15F,America/Chicago
K15J,America/New_York
K15M,America/Chicago
K16D,America/Chicago
K16G,America/New_York
K16J,America/New_York
K17G,America/New_York
K17J,America/New_York
K17K,America/Chicago
K17M,America/Chicago
K17N,America/New_York
K17V,America/Denver
K18A,America/New_York
K18I,America/New_York
K18V,America/Denver
K19A,America/New_York
K19M,America/Chicago
K19N,America/New_York
K19S,America/Chicago
K1A0,America/New_York
K1A3,America/New_York
K1A4,America/Chicago
K1A5,America/New_York
K1A6,America/New_York
K1A7,America/Chicago
K1A9,America/Chicago
K1B0,America/New_York
K1B1,America/New_York
K1B2,America/New_York
K1B6,America/New_York
K1B9,America/New_York
K1BT,America/Chicago
K1C1,America/Chicago
K1C5,America/Chicago
K1D1,America/Chicago
K1D3,America/Chicago
K1D7,America/Chicago
K1D8,America/Chicago
K1F0,America/Chicago
K1F4,America/Chicago
K1F5,America/Chicago
K1G0,America/New_York
K1G1,America/New_York
K1G3,America/New_York
K1G4,America/Phoenix
K1G5,America/New_York
K1H0,America/Chicago
K1H2,America/Chicago
K1H3,America/Chicago
K1H5,America/Chicago
K1H8,America/Chicago
K1I5,America/New_York
K1J0,America/Chicago
K1K2,America/Chicago
K1K4,America/Chicago
K1K7,America/Chicago
K1K9,America/Chicago
K1L0,America/Chicago
K1L1,America/Los_Angeles
K1L3,America/Los_Angeles
K1L7,America/Denver
K1L8,America/Denver
K1L9,America/Denver
K1M2,America/Chicago
K1M4,America/Chicago
K1M5,America/Chicago
K1M9,America/Chicago
K1MO,America/Chicago
K1N1,America/Denver
K1N7,America/New_York
K1O1,America/Chicago
K1O2,America/Los_Angeles
K1O3,America/Los_Angeles
K1O4,America/Chicago
K1O5,America/Los_Angeles
K1O8,America/Chicago
K1Q2,America/Los_Angeles
K1Q4,America/Los_Angeles
K1R1,America/Chicago
K1R4,America/Chicago
K1R7,America/Chicago
K1R8,America/Chicago
K1S3,America/Denver
K1S5,America/Los_Angeles
K1S9,America/Los_Angeles
K1T7,America/Chicago
K1U2,America/Boise
K1U7,America/Boise
K1V0,America/Denver
K1V2,America/Denver
K1V6,America/Denver
K1V8,America/Denver
K1X1,America/Chicago
K20A,America/Chicago
K20M,America/Chicago
K20N,America/New_York
K20R,America/Chicago
K20U,America/Denver
K20V,America/Denver
K21D,America/Chicago
K21F,America/Chicago
K22F,America/Chicago
K22I,America/New_York
K22M,America/Chicago
K22N,America/New_York
K22S,America/Los_Angeles
K23M,America/Chicago
K23R,America/Chicago
K24A,America/New_York
K24F,America/Chicago
K24J,America/New_York
K24N,America/Denver
K24R,America/Chicago
K25D,America/Chicago
K25J,America/New_York
K25M,America/Chicago
K26A,America/Chicago
K26R,America/Chicago
K26U,America/Los_Angeles
K27A,America/New_York
K27K,America/New_York
K27R,America/Chicago
K28J,America/New_York
K29D,America/New_York
K29M,America/Detroit
K29S,America/Denver
K2A0,America/New_York
K2A1,America/Chicago
K2A2,America/Chicago
K2A5,America/New_York
K2A6,America/Chicago
K2B3,America/New_York
K2B7,America/New_York
K2C8,America/Chicago
K2CB,America/New_York
K2D5,America/Chicago
K2E3,America/Chicago
K2E5,America/Denver
K2E7,America/Chicago
K2F0,America/Chicago
K2F1,America/Chicago
K2F4,America/Chicago
K2F5,America/Chicago
K2F7,America/Chicago
K2G1,America/New_York
K2G2,America/New_York
K2G4,America/New_York
K2G9,America/New_York
K2GC,America/New_York
K2H0,America/Chicago
K2H2,America/Chicago
K2H9,America/Chicago
K2I0,America/Chicago
K2I3,America/Chicago
K2IS,America/New_York
K2J2,America/New_York
K2J3,America/New_York
K2J5,America/New_York
K2K3,America/Chicago
K2K4,America/Chicago
K2K7,America/Chicago
K2K9,America/Chicago
K2L0,America/Chicago
K2M0,America/Chicago
K2M2,America/Chicago
K2M4,America/Chicago
K2M8,America/Chicago
K2MO,America/Chicago
K2N4,America/New_York
K2O1,America/Los_Angeles
K2O3,America/Los_Angeles
K2O6,America/Los_Angeles
K2O7,America/Los_Angeles
K2O8,America/Chicago
K2R0,America/Chicago
K2R1,America/Chicago
K2R2,America/Indiana/Indianapolis
K2R4,America/Chicago
K2R5,America/Chicago
K2R6,America/Chicago
K2R7,America/Chicago
K2R9,America/Chicago
K2RR,America/New_York
K2S4,America/Los_Angeles
K2S7,America/Los_Angeles
K2S8,America/Los_Angeles
K2S9,America/Los_Angeles
K2T1,America/Chicago
K2V5,America/Denver
K2V6,America/Denver
K2W5,America/New_York
K2W6,America/New_York
K2Y4,America/Chicago
K30K,America/Chicago
K31E,America/New_York
K32A,America/Chicago
K32S,America/Denver
K33J,America/Chicago
K33K,America/Chicago
K33M,America/Chicago
K33N,America/New_York
K33R,America/Chicago
K33S,America/Los_Angeles
K33U,America/Denver
K33V,America/Denver
K34M,America/Chicago
K34R,America/Chicago
K35A,America/New_York
K35D,America/Detroit
K35S,America/Los_Angeles
K36K,America/Chicago
K36S,America/Los_Angeles
K37F,America/Chicago
K37K,America/Chicago
K37T,America/Chicago
K37V,America/Chicago
K38D,America/New_York
K38J,America/New_York
K38S,America/Denver
K38U,America/Denver
K39N,America/New_York
K3A2,America/New_York
K3A4,America/New_York
K3A7,America/Chicago
K3AK,America/Yakutat
K3AU,America/Chicago
K3B0,America/New_York
K3B1,America/New_York
K3B4,America/New_York
K3B5,America/New_York
K3BS,America/Detroit
K3C8,America/New_York
K3CK,America/Chicago
K3CM,America/Detroit
K3CU,America/Chicago
K3DW,America/Chicago
K3E0,America/Chicago
K3F2,America/Chicago
K3F3,America/Chicago
K3F4,America/Chicago
K3F6,America/Chicago
K3F7,America/Chicago
K3F9,America/Chicago
K3FU,America/Chicago
K3G1,America/New_York
K3G2,America/Chicago
K3G3,America/New_York
K3G4,America/New_York
K3G5,America/New_York
K3G6,America/New_York
K3GM,America/Detroit
K3GV,America/Chicago
K3H4,America/Chicago
K3HO,America/Chicago
K3I2,America/New_York
K3I3,America/Indiana/Indianapolis
K3I4,America/New_York
K3I7,America/New_York
K3J0,America/New_York
K3J1,America/New_York
K3J7,America/New_York
K3JC,America/Chicago
K3K3,America/Denver
K3K4,America/Chicago
K3K6,America/Chicago
K3K7,America/Chicago
K3K8,America/Chicago
K3L2,America/Los_Angeles
K3LF,America/Chicago
K3M7,America/Chicago
K3M8,America/Chicago
K3M9,America/Chicago
K3MY,America/Chicago
K3N6,America/New_York
K3O1,America/Los_Angeles
K3O3,America/Chicago
K3O4,America/Chicago
K3O9,America/Chicago
K3P3,America/Denver
K3R2,America/Chicago
K3R4,America/Chicago
K3R7,America/Chicago
K3R9,America/Chicago
K3RC,America/Detroit
K3S4,America/Los_Angeles
K3S8,America/Los_Angeles
K3S9,America/Los_Angeles
K3T3,America/Chicago
K3T5,America/Chicago
K3TR,America/Detroit
K3U3,America/Denver
K3U4,America/Denver
K3U7,America/Denver
K3U8,America/Denver
K3V0,America/Denver
K3W7,America/Los_Angeles
K3W8,America/Chicago
K3Y2,America/Chicago
K3Y3,America/Chicago
K40G,America/Phoenix
K40J,America/New_York
K40U,America/Denver
K41F,America/Chicago
K41N,America/New_York
K41U,America/Denver
K42A,America/Chicago
K42I,America/New_York
K42J,America/New_York
K42M,America/Chicago
K42U,America/Denver
K42V,America/Denver
K43A,America/New_York
K43B,America/New_York
K43D,America/Los_Angeles
K44C,America/Chicago
K44N,America/New_York
K44U,America/Denver
K45G,America/Detroit
K45K,America/Chicago
K45R,America/Chicago
K46D,America/Chicago
K46U,America/Denver
K47A,America/New_York
K47K,America/Chicago
K47N,America/New_York
K47V,America/Chicago
K48A,America/New_York
K48D,America/Detroit
K48I,America/New_York
K48K,America/Chicago
K48S,America/Denver
K49A,America/New_York
K49B,America/Denver
K49R,America/Chicago
K49X,America/Los_Angeles
K4A0,America/New_York
K4A4,America/New_York
K4A5,America/Chicago
K4A6,America/Chicago
K4A7,America/New_York
K4A9,America/Chicago
K4B6,America/New_York
K4B7,America/New_York
K4B8,America/New_York
K4C8,America/Chicago
K4D0,America/Detroit
K4E7,America/Chicago
K4F2,America/Chicago
K4F7,America/Chicago
K4F8,America/Chicago
K4F9,America/Chicago
K4G4,America/New_York
K4G5,America/New_York
K4G6,America/New_York
K4G8,America/New_York
K4I3,America/New_York
K4I7,America/Indiana/Indianapolis
K4I9,America/New_York
K4J1,America/New_York
K4J2,America/New_York
K4J5,America/New_York
K4J6,America/New_York
K4J8,America/New_York
K4K3,America/Chicago
K4K6,America/Chicago
K4M1,America/Chicago
K4M2,America/Chicago
K4M3,America/Chicago
K4M7,America/Chicago
K4M9,America/Chicago
K4N1,America/New_York
K4O4,America/Chicago
K4O5,America/Chicago
K4P3,America/Chicago
K4R1,America/Chicago
K4R3,America/Chicago
K4R4,America/Chicago
K4R5,America/Chicago
K4R7,America/Chicago
K4R9,America/Chicago
K4S1,America/Los_Angeles
K4S2,America/Los_Angeles
K4S3,America/Los_Angeles
K4S9,America/Los_Angeles
K4SD,America/Los_Angeles
K4T2,America/Chicago
K4U6,America/Denver
K4U9,America/Denver
K4V0,America/Denver
K4V1,America/Denver
K4V4,America/Chicago
